Url,Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
http://12studio.vn/,12studio.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
http://www.12studio.vn/,12studio.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://131mobile.vn/,131mobile.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://1337.vn/,1337.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://1368store.vn/,1368store.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
http://www.139.vn/,139.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://1400.vn/,1400.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://15phut.vn/,15phut.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://15s.vn/,15s.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
http://1618play.vn/home/site/loginfacebook/gameid/1002,1618play.vn,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,0
http://httq.1618play.vn/,httq.1618play.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
http://1668.vn/,1668.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://ghemassage.1688china.vn/,ghemassage.1688china.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://1688vip.vn/dich-vu,1688vip.vn,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
https://168property.vn,168property.vn,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
https://168tour.vn/,168tour.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
